course_num,section_num,paws_ids,seats_filled,open_seats
CSC 215,01,20251;20334;44027;44149;44179;44246;44281;44583;44603;44626;44663;44720;44774;44807;44807;44911;44951;44991;45659;45739;45756;45782;45786;45966,24,0
CSC 220,01,18656;19338;19695;19754;19794;20312;50928;50929;50930;50931;50932;50933;50934;50935;50936;50937;50938;50939;50940;50941;50942;50943;50944;50945,24,0
CSC 230,01,canceled due to < min_num seats,0,24
CSC 250,01,canceled due to < min_num seats,0,24
CSC 270,01,canceled due to < min_num seats,6,18
CSC 275,01,canceled due to < min_num seats,11,13
CSC 305,01,canceled due to < min_num seats,1,23
CSC 315,01,canceled due to < min_num seats,0,22
CSC 325,01,19558;19659;51023;51024;51025;51026;51027;51028;51029;51030;51031;51032;51033;51034;51035;51036;51037;51038;51039;51040;51041;51042;51043;51044,24,0
CSC 335,01,19520;18451;51019;51033;51034;51035;51036;51037;51038;51039;51040;51041;51042;51044;51045;51046;51047;51048;51049;51050;51051;51052;51053;51054,24,0
CSC 345,01,18396;18436;19202;19450;51061;51062;51063;51064;51065;51066;51067;51068;51069;51070;51071;51072;51073;51074;51075;51076;51077;51078;51079;51080,24,0
CSC 355,01,19581;51140;51141;51142;51143;51144;51145;51146;51147;51148;51149;51150;51151;51152;51153;51154;51155;51156;51157;51158;51159;51160,22,0
CSC 360,01,51131;51132;51133;51134;51135;51136;51137;51138;51139;51143;51144;51145;51146;51148;51149;51150;51151;51152;51153;51154;51155;51157;51158;51159,24,0
CSC 380,01,18344;18730;19076;19665;18609;18713;19024;19058;19078;19202;19241;19268;19301;19321;19325;19345;19362;19375;19423;19450;19458;19526;19796;18633,24,0
CSC 415,01,18451;18633;18713;18746;19058;19065;19078;19153;19217;19268;19301;19319;19321;19345;19356;19358;19359;19423,18,0
CSC 425,"",canceled due to < min_num seats,0,0
CSC 435,01,18670;19024;19375;19413;19526;19551;51018;51020;51021;51022;51023;51024;51025;51029;51079;51080;51081;51082;51083;51084,20,4
CSC 445,01,canceled due to < min_num seats,0,24
CSC 448,"",canceled due to < min_num seats,0,0
CSC 470,01,51161;51162;51163;51164;51165;51166;51167;51168;51169;51170;51171;51172;51173;51174;51175;51176;51177;51178;51179;51180;51181;51182,22,0
CSC 498,01,canceled due to < min_num seats,0,3
CSC 215,02,46085;46122;46178;46244;46322;46366;46370;46380;46410;46411;46453;46459;46463;46469;46500;46577;46591;46625;46637;46679;46699;46814;46847;46862,24,0
CSC 215,03,46922;46939;46995;46998;47167;47183;47196;47269;47298;47505;47507;47509;48552;48602;48749;48801;50893;50894;50895;50896;50897;50898;50899;50900,24,0
CSC 215,04,50898;50901;50902;50903;50904;50905;50906;50907;50908;50909;50910;50911;50912;50913;50914;50915;50916;50917;50918;50919;50920;50921;50922;50923,24,0
CSC 215,05,canceled due to < min_num seats,5,19
CSC 220,02,50946;50947;50948;50949;50950;50951;50952;50953;50954;50955;50956;50957;50958;50959;50960;50961;50962;50963;50964;50965;50966;50967;50968;50969,24,0
CSC 220,03,50948;50970;50971;50972;50973;50974;50975;50976;50977;50978;50979;50980;50981;50982;50983;50984;50985;50986;50987;50988;50989;50990;50991;50992,24,0
CSC 220,04,50986;50988;50993;50994;50995;50996;50997;50998;50999;51000;51001;51002;51003;51004;51005;51006;51007;51008;51009;51010;51011;51012;51013;51014,24,0
CSC 220,05,50986;51015;51016;51017;51199;51200;51201;51202;51203;51204;51205;51206;51207;51208;51209;51210;51211;51212;51213;51214;51215;51216;51217;51218,24,0
CSC 230,02,canceled due to < min_num seats,0,24
CSC 230,03,canceled due to < min_num seats,0,24
CSC 270,02,canceled due to < min_num seats,3,21
CSC 270,03,canceled due to < min_num seats,0,24
CSC 325,02,51045;51046;51047;51048;51049;51050;51051;51052;51053;51054;51055;51056;51057;51058;51059;51060;18585;19520;19581;19653;19796;19241,22,2
CSC 335,02,51019;51055;51056;51057;51058;51059;51060;51061;51062;51063;51064;51065;51066;51067;51068;51069;51071;51072;51073;51074;51075;51076;51077;51078,24,0
CSC 360,02,51131;51132;51133;51134;51135;51136;51137;51138;51139;51160;51161;51162;51163;51164;51165;51166;51167;51168;51169;51170;51171;51172;51173;51174,24,0
CSC 415,02,19432;19653;18585;18609;51026;51027;51028;51029;51030;51031;51032;51094;51095;51096;51097;51098;51099;51100,18,0
CSC 498,02,canceled due to < min_num seats,0,3
CSC 498,03,canceled due to < min_num seats,0,3
CSC 498,04,canceled due to < min_num seats,0,3
CSC 498,05,canceled due to < min_num seats,0,3
CSC 498,06,canceled due to < min_num seats,0,3
CSC 498,07,canceled due to < min_num seats,0,3
CSC 498,08,canceled due to < min_num seats,0,3
